indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Fuente de ingreso: salario,2021,8.190,8190.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: salario,2020,7.463,7463.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: salario,2019,7.825,7825.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: salario,2018,7.300,7300.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: salario,2017,7.049,7049.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: salario,2016,6.570,6570.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2022,4.444,4444.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2021,4.569,4569.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2020,4.537,4537.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2019,4.460,4460.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2018,4.582,4582.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2017,4.808,4808.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: pensiones,2016,4.870,4870.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2022,252,252.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2021,396,396.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2020,638,638.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2019,226,226.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2018,249,249.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2017,261,261.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: prestaciones por desempleo,2016,252,252.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2022,618,618.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2021,556,556.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2020,519,519.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2019,515,515.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2018,482,482.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2017,470,470.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otras prestaciones,2016,438,438.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2022,952,952.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2021,835,835.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2020,728,728.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2019,689,689.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2018,739,739.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2017,691,691.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: otros ingresos,2016,742,742.0,28079,Madrid,2807912,Madrid distrito 12,2807912005,Madrid sección 12005
Fuente de ingreso: salario,2022,9.181,9181.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2021,8.735,8735.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2020,8.031,8031.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2019,7.975,7975.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2018,7.690,7690.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2017,7.488,7488.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2016,7.391,7391.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: pensiones,2022,4.166,4166.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: pensiones,2021,4.143,4143.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
