year,month,magnitude,value,normalized,year-month
2002,7,Monóxido de Nitrógeno,16.97067449,0.2156036648,2002-7
2002,7,Óxidos de Nitrógeno,72.0058651,0.4122346305,2002-7
2002,7,Ozono,59.46236559,3.031798246,2002-7
2002,7,Partículas < 10 µm,36.72903226,1.26722315,2002-7
2002,7,Tolueno,3.012903226,0.2967905942,2002-7
2002,8,Benceno,0.8451612903,0.2903047091,2002-8
2002,8,Dióxido de Azufre,6.524193548,0.2897103295,2002-8
2002,8,Dióxido de Nitrógeno,45.52785924,0.842772872,2002-8
2002,8,Etilbenceno,0.9741935484,0.2843691149,2002-8
2002,8,Hidrocarburos no metánicos (hexano),0.1025806452,0.7227272727,2002-8
2002,8,Hidrocarburos totales (hexano),1.322258065,0.9211235955,2002-8
2002,8,Metano,1.222258065,0.9432412248,2002-8
2002,8,Monóxido de Carbono,0.3930875576,0.3559171752,2002-8
2002,8,Monóxido de Nitrógeno,14.04985337,0.1784961393,2002-8
2002,8,Óxidos de Nitrógeno,67.02639296,0.3837270797,2002-8
2002,8,Ozono,57.88172043,2.95120614,2002-8
2002,8,Partículas < 10 µm,32.91612903,1.135670562,2002-8
2002,8,Tolueno,3.248387097,0.3199872895,2002-8
2002,9,Benceno,1.058064516,0.363434903,2002-9
2002,9,Dióxido de Azufre,6.701612903,0.2975887315,2002-9
2002,9,Dióxido de Nitrógeno,52.79765396,0.9773451071,2002-9
2002,9,Etilbenceno,1.283870968,0.3747645951,2002-9
2002,9,Hidrocarburos no metánicos (hexano),0.1316129032,0.9272727273,2002-9
2002,9,Hidrocarburos totales (hexano),1.329677419,0.9262921348,2002-9
2002,9,Metano,1.200967742,0.926811053,2002-9
2002,9,Monóxido de Carbono,0.5059907834,0.4581442654,2002-9
2002,9,Monóxido de Nitrógeno,32.04105572,0.4070650841,2002-9
2002,9,Óxidos de Nitrógeno,101.8651026,0.5831792019,2002-9
2002,9,Ozono,35.86021505,1.828399123,2002-9
2002,9,Partículas < 10 µm,26.86451613,0.9268781302,2002-9
2002,9,Tolueno,4.670967742,0.4601207499,2002-9
2002,10,Benceno,1.267741935,0.4354570637,2002-10
2002,10,Dióxido de Azufre,8.415322581,0.373686933,2002-10
2002,10,Dióxido de Nitrógeno,54.47507331,1.008396063,2002-10
2002,10,Etilbenceno,1.435483871,0.4190207156,2002-10
2002,10,Hidrocarburos no metánicos (hexano),0.1383870968,0.975,2002-10
